Agent,Arrival time,Answer time,Completion time,Release type,Time in queue,Service time,No of Agents,Queue + Service times
9,11:16:14 AM,11:16:39 AM,11:16:39 AM,V,0:00:25,0:00:00,4,0:00:25
8,11:16:39 AM,11:16:54 AM,11:23:12 AM,N,0:00:15,0:06:18,4,0:06:33
6,11:16:51 AM,11:17:28 AM,11:19:27 AM,N,0:00:37,0:01:59,5,0:02:36
10,11:23:31 AM,11:23:43 AM,11:23:43 AM,V,0:00:12,0:00:00,6,0:00:12
4,11:23:43 AM,11:24:04 AM,11:25:30 AM,N,0:00:21,0:01:26,6,0:01:47
10,11:23:44 AM,11:24:34 AM,11:24:34 AM,V,0:00:50,0:00:00,7,0:00:50
10,11:24:30 AM,11:25:00 AM,11:25:01 AM,V,0:00:30,0:00:01,7,0:00:31
7,11:24:34 AM,11:24:52 AM,11:25:27 AM,N,0:00:18,0:00:35,6,0:00:53
1,11:25:01 AM,11:25:20 AM,11:28:02 AM,N,0:00:19,0:02:42,6,0:03:01
9,11:25:16 AM,11:25:51 AM,11:25:51 AM,V,0:00:35,0:00:00,7,0:00:35
5,11:25:51 AM,11:26:15 AM,11:29:09 AM,N,0:00:24,0:02:54,6,0:03:18
10,11:27:10 AM,11:27:45 AM,11:27:45 AM,V,0:00:35,0:00:00,6,0:00:35
6,11:27:45 AM,11:28:02 AM,11:29:40 AM,N,0:00:17,0:01:38,6,0:01:55
10,11:28:21 AM,11:28:53 AM,11:28:53 AM,V,0:00:32,0:00:00,6,0:00:32
8,11:28:53 AM,11:29:09 AM,11:37:18 AM,N,0:00:16,0:08:09,5,0:08:25
10,11:29:47 AM,11:30:34 AM,11:30:34 AM,V,0:00:47,0:00:00,5,0:00:47
10,11:30:18 AM,11:30:20 AM,11:30:20 AM,Q,0:00:02,0:00:00,5,0:00:02
10,11:30:19 AM,11:30:25 AM,11:30:25 AM,V,0:00:06,0:00:00,5,0:00:06
7,11:30:25 AM,11:30:41 AM,11:31:19 AM,N,0:00:16,0:00:38,4,0:00:54
10,11:30:31 AM,11:30:33 AM,11:30:33 AM,V,0:00:02,0:00:00,4,0:00:02
1,11:30:33 AM,11:30:53 AM,11:32:40 AM,N,0:00:20,0:01:47,3,0:02:07
4,11:30:34 AM,11:30:50 AM,11:32:06 AM,N,0:00:16,0:01:16,3,0:01:32
10,11:31:27 AM,11:31:31 AM,11:31:31 AM,V,0:00:04,0:00:00,3,0:00:04
1,11:31:31 AM,11:32:52 AM,11:34:17 AM,N,0:01:21,0:01:25,4,0:02:46
10,11:33:09 AM,11:33:57 AM,11:33:57 AM,V,0:00:48,0:00:00,5,0:00:48
7,11:33:57 AM,11:34:30 AM,11:35:17 AM,N,0:00:33,0:00:47,5,0:01:20
10,11:36:59 AM,11:37:36 AM,11:37:37 AM,V,0:00:37,0:00:01,5,0:00:38
1,11:37:37 AM,11:38:17 AM,11:38:17 AM,N,0:00:40,0:00:00,4,0:00:40
